,GAZP,LKOH,ROSN,SNGS,TATN,SBER,VTBR,MOEX
0,121.63,5910.5,416.85,21.83,651.1,,76.68,174.3
1,125.94,6097.5,429.1,22.08,658.6,,76.62,176.65
2,125.98,6081.0,435.75,22.17,668.7,,78.85,176.67
3,130.11,6170.0,438.4,22.47,688.6,,79.6,178.63
4,134.24,6202.5,445.05,22.73,703.0,,79.6,180.43
5,141.16,6320.0,455.2,22.975,728.7,,80.53,182.88
6,140.0,6336.5,461.55,23.125,721.2,,79.52,183.49
7,140.8,6385.0,461.5,23.125,723.2,,79.38,184.5
8,139.39,6336.0,456.6,23.93,712.5,,78.98,184.4
9,140.26,6387.0,474.75,23.85,721.6,,80.28,186.73
10,142.53,6444.0,487.35,23.78,725.4,,80.28,187.66
11,138.14,6360.0,473.45,23.21,710.1,,79.0,183.57
12,139.5,6337.5,472.9,23.8,706.8,,78.88,183.35
13,137.81,6420.0,475.2,23.45,706.2,,80.1,186.28
14,135.31,6365.0,466.8,23.195,698.3,,79.51,185.29
15,131.13,6311.5,463.25,22.855,694.3,,77.99,181.75
16,132.57,6249.0,454.75,23.045,681.2,,76.98,184.18
17,132.76,6326.0,456.35,23.115,675.0,,77.03,183.9
18,132.13,6317.0,457.7,23.0,677.8,,76.93,183.39
19,132.38,6301.0,456.05,22.945,673.9,,76.32,182.2
20,133.69,6275.5,458.4,23.245,665.5,,76.4,181.76
21,135.51,6280.0,465.6,22.885,660.2,,76.55,181.93
22,133.25,6323.0,456.15,22.805,653.7,,75.9,180.09
23,135.88,6273.5,459.75,22.85,647.7,,75.15,179.0
24,136.37,6430.5,461.95,22.81,651.3,,75.04,179.37
25,134.91,6429.0,463.0,22.61,654.4,,75.14,179.6
26,132.18,6445.0,461.1,22.605,657.4,,74.02,177.59
27,132.18,6370.0,451.8,22.63,651.0,,75.13,176.3
28,130.8,6336.5,447.95,22.675,647.0,,75.74,176.07
29,131.87,6393.0,449.55,22.7,664.3,,75.5,175.94
30,131.92,6464.0,459.4,23.15,663.2,,75.64,175.45
31,132.3,6472.0,457.65,23.19,664.0,,75.68,175.65
32,133.48,6476.5,457.1,22.27,658.7,,75.23,175.88
33,133.52,6484.5,467.7,22.315,657.3,,74.97,177.81
34,130.73,6465.0,461.65,22.36,650.1,,74.1,178.69
35,130.02,6484.5,464.55,21.965,655.1,,77.86,176.52
36,125.44,6537.5,448.4,22.085,645.5,,75.86,175.42
37,125.0,6626.5,445.1,22.835,641.4,,76.0,172.78
38,126.19,6448.0,449.65,21.665,642.8,,76.38,172.47
39,124.07,6426.5,440.8,21.945,641.9,,74.11,172.76
40,122.58,6495.0,436.85,21.44,631.7,,72.97,172.31
41,125.0,6420.0,441.0,21.62,629.3,,72.09,171.07
42,122.77,6370.5,435.55,21.415,620.4,,71.83,170.92
43,120.44,6380.0,428.9,21.525,616.5,,71.54,170.85
44,119.5,6325.5,431.45,21.51,623.9,,70.94,170.29
45,117.11,6268.5,421.9,21.465,610.3,,70.25,167.67
46,118.9,6140.0,427.7,21.2,627.2,,70.78,169.27
47,117.66,6189.0,422.2,21.225,627.3,,69.97,168.08
48,120.15,6123.0,424.25,21.225,645.9,,69.19,168.82
49,120.11,6228.0,424.7,21.225,644.0,,69.01,168.78
50,119.8,6221.5,424.85,21.225,640.1,,69.0,167.95
51,117.05,6221.0,416.9,21.225,632.1,,68.2,165.91
52,117.78,6093.0,411.2,21.225,632.7,,68.32,164.87
53,117.78,6105.5,411.2,21.225,632.7,,68.32,164.87
54,117.78,6105.5,411.2,21.225,632.7,,68.32,164.87
